Filename; Functions; Expected_insns; Parallel; Execution_1; Execution_2; Execution_3; Execution_4; Execution_5; Execution_6; Execution_7; Execution_8; Execution_9; Execution_10; Execution_11; Execution_12; Execution_13; Execution_14; Execution_15
0-0-8.cc; 0; 0; false; 0.108836676; 0.107351763; 0.107375684; 0.10712945; 0.107451464; 0.107278806; 0.107513827; 0.106991127; 0.106993741; 0.107107594; 0.107091821; 0.107520328; 0.107650073; 0.107610108; 0.10724322
0-0-8.cc; 0; 0; true; 0.107829824; 0.107244631; 0.107542369; 0.107388116; 0.107122577; 0.107630006; 0.107436109; 0.10747746; 0.108111648; 0.107537313; 0.107289897; 0.107459409; 0.107088905; 0.107733562; 0.107138453
0-0-9.cc; 0; 0; false; 0.107681786; 0.10710131; 0.106977498; 0.106979837; 0.106624314; 0.107026704; 0.106646002; 0.106776864; 0.106552002; 0.106966838; 0.106596089; 0.109469862; 0.109742427; 0.107165181; 0.107299498
0-0-9.cc; 0; 0; true; 0.107351501; 0.107242774; 0.105474568; 0.107296354; 0.106981327; 0.108396938; 0.106854962; 0.107036571; 0.107123461; 0.106609714; 0.107011353; 0.10688464; 0.107278357; 0.107260806; 0.106885691
1-10-23.c; 1; 10; false; 0.041896814; 0.029044382; 0.028881704; 0.028883524; 0.028825019; 0.028830112; 0.028781685; 0.028759907; 0.028777307; 0.028818484; 0.028745856; 0.02878098; 0.02883608; 0.028832914; 0.028818239
1-10-23.c; 1; 10; true; 0.028873689; 0.028807207; 0.02893019; 0.029000365; 0.028932023; 0.029113307; 0.029081404; 0.028915239; 0.028947017; 0.02899551; 0.028948234; 0.028989903; 0.028934526; 0.028913219; 0.028939679
1-10-24.c; 1; 10; false; 0.032625625; 0.032937193; 0.031218686; 0.031340488; 0.031313481; 0.031184658; 0.031402177; 0.031315786; 0.031341562; 0.031280258; 0.031286876; 0.031335788; 0.031396088; 0.031437851; 0.03149817
1-10-24.c; 1; 10; true; 0.042500759; 0.042459288; 0.042522834; 0.042431694; 0.042493642; 0.042606228; 0.042639573; 0.042694466; 0.042583773; 0.042469935; 0.042545109; 0.0426394; 0.042516459; 0.042697739; 0.042508629
1-104-22.c; 1; 104; false; 0.060373577; 0.058601727; 0.058445627; 0.058709472; 0.058464678; 0.058498027; 0.058420163; 0.058618036; 0.058539421; 0.05839406; 0.058524275; 0.058420115; 0.058538713; 0.058485309; 0.058352216
1-104-22.c; 1; 104; true; 0.059406736; 0.059180347; 0.059453141; 0.05975422; 0.05959226; 0.059592615; 0.059600914; 0.059680122; 0.059362914; 0.059474857; 0.059543575; 0.059625007; 0.059658165; 0.0595404; 0.05956348
1-11-37.cc; 1; 11; false; 0.478051487; 0.476705626; 0.47617169; 0.477274653; 0.480304908; 0.478112697; 0.478150917; 0.47717764; 0.478034046; 0.478071746; 0.478015566; 0.476013457; 0.477321419; 0.478020816; 0.476045141
1-11-37.cc; 1; 11; true; 0.477258687; 0.477964688; 0.477534946; 0.500374143; 0.482808208; 0.479778464; 0.477793579; 0.480033081; 0.47740462; 0.476519818; 0.4758495; 0.476956084; 0.47916849; 0.478607647; 0.483224683
1-12-13.c; 1; 12; false; 0.035423416; 0.034952739; 0.03532531; 0.035045059; 0.035248855; 0.035001839; 0.035051617; 0.034892253; 0.035036523; 0.034932696; 0.03495725; 0.035005088; 0.035038413; 0.035007628; 0.034999048
