filename,functions,expected_insns,inlined_functions,parallel,execution_1,execution_2,execution_3,execution_4,execution_5,execution_6,execution_7,execution_8,execution_9,execution_10,execution_11,execution_12,execution_13,execution_14,execution_15,predicted
1-19-0.c,1,19,0,4,0.033149998,0.033086598,0.033164893,0.034485462,0.032745767,0.032838642,0.03268857,0.032725843,0.032826107,0.032618848,0.032912351,0.033430936,0.03276955,0.032698041,0.032653148,-0.1035370452274831
1-19-0.c,1,19,0,8,0.03280527,0.032823558,0.032601189,0.032788698,0.032533225,0.032522741,0.033432626,0.032589728,0.03291415,0.032734507,0.032618003,0.032692503,0.033532834,0.032646624,0.032810426,1.6287378662183527
1-19-0.cc,1,19,0,1,0.140580574,0.139956343,0.140863309,0.140223661,0.140214695,0.13946212,0.138904171,0.141807512,0.141405304,0.140643193,0.140626642,0.13995141,0.139318633,0.140344032,0.14164654,2.993447496932727
1-19-0.cc,1,19,0,2,0.14949238,0.14910701,0.148734539,0.1491471,0.151174723,0.149074729,0.149602929,0.150318542,0.151452711,0.148907732,0.149930593,0.148997051,0.148726619,0.148901352,0.14886325,1.5424344851893625
1-19-0.cc,1,19,0,4,0.148768825,0.147390592,0.147539109,0.149002151,0.147147682,0.146995466,0.146930694,0.147675682,0.14669165,0.146683295,0.147684457,0.146550814,0.147476366,0.147118674,0.146743727,-0.1035370452274831
1-19-0.cc,1,19,0,8,0.148686905,0.146664197,0.147078624,0.147158227,0.148465822,0.146765113,0.147602043,0.147385907,0.148492666,0.156363301,0.148328926,0.146985067,0.14670887,0.146353556,0.148030433,1.6287378662183527
1-20-0.c,1,20,0,1,0.036292933,0.035766779,0.03558108,0.035432101,0.035490525,0.035391157,0.035460791,0.035451952,0.035693533,0.035454097,0.035412079,0.035430801,0.035571786,0.035519917,0.035301575,2.9934513470490307
1-20-0.c,1,20,0,2,0.035677786,0.035514142,0.036003135,0.035458584,0.03542349,0.035576,0.035563938,0.035586603,0.035383149,0.03549947,0.035603155,0.035499853,0.035546349,0.035482399,0.035595133,1.5424861015120386
1-20-0.c,1,20,0,4,0.035419699,0.035572892,0.035469982,0.035529851,0.03547289,0.035609365,0.035598074,0.035494453,0.0355739,0.035582474,0.035631778,0.035482279,0.035458525,0.035558811,0.035501007,-0.10343823812330495
1-20-0.c,1,20,0,8,0.035480283,0.035477661,0.035552566,0.035546548,0.035453305,0.035901174,0.035417079,0.035727885,0.035373671,0.035426803,0.035668298,0.035584531,0.035598878,0.035564784,0.035511765,1.628737688360564
1-215-0.c,1,215,0,1,0.106746516,0.106371026,0.106771832,0.106050499,0.106391655,0.106652291,0.106360114,0.106234245,0.106165403,0.106182433,0.106572868,0.106423997,0.106508094,0.106740163,0.106511052,2.9942138511549126
